# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 14 Manufacturer: samsung Model: SM-S926B
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,,2,0,1,26,1575420030,17.80,253.8,53.3,0,0,1,12.8
Status,,2,1,1,31,1575420030,19.50,237.6,4.8,0,0,1,14.5
Status,,3,0,1,23,1575420030,23.90,169.4,68.1,0,0,1,18.9
Status,,3,1,1,26,1575420030,17.90,253.8,53.3,0,0,1,12.9
Status,,3,2,1,31,1575420030,19.90,237.6,4.8,0,0,1,14.9
Status,,3,0,1,23,1575420030,23.80,169.4,68.1,0,0,1,18.8
Status,,3,1,1,26,1575420030,17.90,253.8,53.3,0,0,1,12.9
Status,,3,2,1,31,1575420030,20.30,237.6,4.8,0,0,1,15.3
Status,,3,0,1,23,1575420030,23.60,169.4,68.1,0,0,1,18.6
Status,,3,1,1,26,1575420030,17.80,253.8,53.3,0,0,1,12.8
Status,,3,2,1,31,1575420030,20.70,237.6,4.8,0,0,1,15.7
Status,,4,0,1,23,1575420030,23.30,169.4,68.1,0,0,1,18.3
Status,,4,1,1,26,1575420030,17.80,253.8,53.3,0,0,1,12.8
Status,,4,2,1,31,1575420030,20.70,237.6,4.8,0,0,1,15.7
Status,,4,3,1,25,1575420030,20.70,160.1,2.1,0,0,1,15.7
Fix,NLP,33.8178237000,35.4926534000,30.799999237060547,,104.1,,1719560047009,,,171473118000000,20.729273,0,,,
Status,,5,0,1,23,1575420030,22.80,169.4,68.1,0,0,1,17.8
Status,,5,1,1,26,1575420030,17.70,253.8,53.3,0,0,1,12.7
Status,,5,2,1,31,1575420030,20.80,237.6,4.8,0,0,1,15.8
Status,,5,3,1,13,1575420030,20.10,53.4,3.3,0,0,1,15.1
Status,,5,4,1,25,1575420030,20.70,160.1,2.1,0,0,1,15.7
Fix,FLP,33.8178242000,35.4926590000,30.799999237060547,0.011447549,86.25,,1719560047233,1.5,,171473342000000,15.00081,0,,,
Status,,5,0,1,23,1575420030,22.30,169.4,68.1,0,0,1,17.3
Status,,5,1,1,26,1575420030,17.60,253.8,53.3,0,0,1,12.6
Status,,5,2,1,31,1575420030,20.80,237.6,4.8,0,0,1,15.8
Status,,5,3,1,13,1575420030,20.00,53.4,3.3,0,0,1,15.0
Status,,5,4,1,25,1575420030,20.60,160.1,2.1,0,0,1,15.6
Status,,5,0,1,23,1575420030,21.70,169.4,68.1,0,0,1,16.7
Status,,5,1,1,26,1575420030,17.40,253.8,53.3,0,0,1,12.4
Status,,5,2,1,13,1575420030,19.80,53.4,3.3,0,0,1,14.8
Status,,5,3,1,25,1575420030,20.50,160.1,2.1,0,0,1,15.5
Status,,5,4,1,31,1575420030,19.30,237.6,4.8,0,0,1,14.3
Status,,6,0,1,23,1575420030,21.20,169.4,68.1,0,0,1,16.2
Status,,6,1,1,26,1575420030,17.30,253.8,53.3,0,0,1,12.3
Status,,6,2,1,29,1575420030,26.40,101.9,33.3,0,0,1,21.4
Status,,6,3,1,13,1575420030,19.60,53.4,3.3,0,0,1,14.6
Status,,6,4,1,25,1575420030,20.30,160.1,2.1,0,0,1,15.3
